Address,Latitude,Longitude,Easting,Northing
B1,52.4796,-1.90779,406360,286856
B2,52.4863,-1.89732,407070,287603
B3,52.4823,-1.90289,406692,287157
B4,52.4838,-1.89374,407313,287325
B5,52.4722,-1.89683,407105,286034
B6,52.5025,-1.88685,407778,289406
B7,52.4938,-1.87438,408626,288439
B8,52.49,-1.84277,410773,288021
B9,52.4781,-1.85284,410092,286696
B10,52.4701,-1.85328,410064,285806
B11,52.4554,-1.85984,409621,284170
B12,52.4609,-1.88253,408079,284779
B13,52.4351,-1.8826,408078,281909
B14,52.4188,-1.89026,407560,280095
B15,52.468,-1.92348,405295,285565
B16,52.4754,-1.9323,404695,286387
B17,52.4615,-1.96293,402616,284840
B18,52.4915,-1.92254,405356,288179
B19,52.4963,-1.90616,406468,288714
B20,52.5134,-1.91885,405604,290615
B21,52.5051,-1.93634,404418,289691
B23,52.5276,-1.85172,410157,292202
B24,52.5196,-1.82891,411706,291316
B25,52.4616,-1.826,411919,284864
B26,52.4607,-1.79288,414170,284770
B27,52.4458,-1.82377,412075,283107
B28,52.4278,-1.84318,410760,281102
B29,52.4377,-1.94563,403793,282193
B30,52.4212,-1.9281,404987,280359
B31,52.4092,-1.97309,401928,279022
B32,52.4509,-1.99449,400471,283660
B33,52.4807,-1.78795,414498,286996
B34,52.4957,-1.78168,414919,288666
B35,52.5173,-1.78998,414349,291067
B38,52.401,-1.93401,404587,278111
B42,52.5347,-1.90468,406563,292986
B44,52.545,-1.88565,407852,294133
